,Time,Target,Number of Features,ROC AUC,Average Precision,Brier Score Loss
0,2019-03-28-1826,readmitted30d,10,0.765378820273771,0.37328275454410553,0.10281555372985716
0,2019-03-28-1841,readmitted30d,10,0.765378820273771,0.37328275454410553,0.10281555372985716
0,2019-03-28-1900,length_of_stay_over_7_days,10,0.8358637057003159,0.5614542215876136,0.11896282042446174
0,2019-03-28-1936,financialclass_binary,10,0.9205270757456954,0.961252505561781,0.09903982196818875
0,2019-03-28-2046,gender_binary,10,0.7854322982071515,0.7299357736265794,0.18657718788733466
0,2019-03-28-2151,race_binary,10,0.9123719788397769,0.8521154931408446,0.09836431289447543
0,2019-03-28-2310,readmitted30d,20,0.7615144822999402,0.3685174371439249,0.10319091897153088
0,2019-03-28-2332,length_of_stay_over_7_days,20,0.835192493598271,0.5610551921042245,0.11865893378262657
0,2019-03-28-2356,financialclass_binary,20,0.9189057462069664,0.9599770605794188,0.09940176499087795
0,2019-03-29-0032,gender_binary,20,0.827895285230724,0.786283103792943,0.16844928357160383
0,2019-03-29-0151,race_binary,20,0.9132017003016217,0.8538254378399315,0.09774028805399919
0,2019-03-29-0237,readmitted30d,30,0.7616869478912871,0.3690983257977127,0.10321666726070926
0,2019-03-29-0256,length_of_stay_over_7_days,30,0.8400852081917994,0.571172473477457,0.11715608369724012
0,2019-03-29-0320,financialclass_binary,30,0.9184331300026576,0.9595462399933533,0.0997028322248305
0,2019-03-29-0402,gender_binary,30,0.8462757172290822,0.8080760240711389,0.16000546043131436
0,2019-03-29-0449,race_binary,30,0.9132385113163688,0.85492869856438,0.09737053007354816
0,2019-03-29-0518,readmitted30d,40,0.7629653205080309,0.3711388933348442,0.10305254738626765
0,2019-03-29-0538,length_of_stay_over_7_days,40,0.8413287088075277,0.572800826358129,0.11692367758252728
0,2019-03-29-0604,financialclass_binary,40,0.9192830855276881,0.9599248847092027,0.09909322685516074
0,2019-03-29-0648,gender_binary,40,0.8575027263187589,0.8217071660763215,0.15403603488195278
0,2019-03-29-0823,race_binary,40,0.9156691257956342,0.8589204256662296,0.09603102220166364
0,2019-03-29-0902,readmitted30d,50,0.7627909127597007,0.3711164941994749,0.10304619799399696
0,2019-03-29-0928,length_of_stay_over_7_days,50,0.8451495766357581,0.5813652810471034,0.1158100157186887
0,2019-03-29-1001,financialclass_binary,50,0.9204273824504878,0.9606549483589683,0.09839952595348878
0,2019-03-29-1052,readmitted30d,280,0.7631219180831517,0.3711091760094124,0.10296891395093298
0,2019-03-29-1139,length_of_stay_over_3_days,170,0.8563088609703196,0.8818675734205231,0.15124290939113397
0,2019-03-29-1419,length_of_stay_over_5_days,170,0.8541644711884282,0.7332512397388395,0.14302475882261315
0,2019-03-30-2011,readmitted30d,280,0.7633444746387256,0.371181630174401,0.10298030864611726
0,2019-03-30-2215,readmitted5d,280,0.6816054028262805,0.07270034866493787,0.03005496975027779
0,2019-03-30-2241,readmitted7d,280,0.6985507188051054,0.11384448847874822,0.042338185664698574
0,2019-03-30-2305,readmitted3d,280,0.6503364377470418,0.032959372213971314,0.015919336074787415
0,2019-03-30-2342,length_of_stay_over_3_days,170,0.8480991581252503,0.8740271581420463,0.15550347477640103
