,index,hours_from_admission_to_death_socialsecurity
160,2262.7833333333333,1
161,3750.0833333333335,1
162,872.8166666666667,1
163,343.8666666666667,1
164,1203.0,1
165,752.9,1
166,388.85,1
167,879.0666666666667,1
168,121.18333333333334,1
169,3704.1666666666665,1
170,850.3166666666667,1
171,1756.5666666666666,1
172,943.35,1
173,167.46666666666667,1
174,1848.0,1
175,1040.9333333333334,1
176,1042.4333333333334,1
177,1133.4333333333334,1
178,2.566666666666667,1
179,1136.8166666666666,1
180,436.6166666666667,1
181,439.3833333333333,1
182,756.5333333333333,1
183,2370.1666666666665,1
184,2363.6666666666665,1
185,2357.4166666666665,1
186,2359.9166666666665,1
187,368.6,1
188,3926.7833333333333,1
189,371.1,1
190,444.8833333333333,1
191,799.15,1
192,685.0666666666667,1
193,1028.8166666666666,1
194,3100.3333333333335,1
195,153.58333333333334,1
196,2576.1666666666665,1
197,3992.7833333333333,1
198,1060.4333333333334,1
199,1086.0666666666666,1
200,1084.3166666666666,1
201,1807.0,1
202,695.5666666666667,1
203,365.1,1
204,1085.1833333333334,1
205,1084.1833333333334,1
206,364.35,1
207,2526.8333333333335,1
208,4007.4666666666667,1
209,364.65,1
210,4009.9666666666667,1
211,22.15,1
212,153.08333333333334,1
213,790.15,1
214,3936.9666666666667,1
215,754.0666666666667,1
216,143.41666666666666,1
217,7.75,1
218,2163.3333333333335,1
219,1256.1833333333334,1
220,1990.25,1
221,344.6,1
222,841.65,1
223,345.65,1
224,405.6333333333333,1
225,2135.0833333333335,1
226,1273.9333333333334,1
227,227.03333333333333,1
228,78.31666666666666,1
229,5618.9,1
230,1233.0666666666666,1
231,339.35,1
232,3653.0333333333333,1
233,76.18333333333334,1
234,2186.3333333333335,1
235,46.93333333333333,1
236,748.5666666666667,1
237,2231.5833333333335,1
238,1195.4333333333334,1
239,391.6333333333333,1
240,3714.4666666666667,1
241,384.8833333333333,1
242,140.66666666666666,1
243,2242.1666666666665,1
244,139.08333333333334,1
245,1159.1833333333334,1
246,5238.1,1
247,894.6,1
248,20.35,1
249,123.25,1
250,137.41666666666666,1
251,1156.0666666666666,1
252,123.5,1
253,751.6833333333333,1
254,2587.1666666666665,1
255,7586.383333333333,1
256,12.466666666666667,1
257,102.25,1
258,314.4,1
259,530.0666666666667,1
260,1608.0,1
261,5042.85,1
262,101.0,1
263,2898.5833333333335,1
264,5073.1,1
265,1379.3166666666666,1
266,1619.75,1
267,899.15,1
268,1403.9333333333334,1
