,index,time_from_admission_to_death_socialsecurity
418,3 days 09:47:00.000000000,1
419,135 days 00:28:00.000000000,1
420,125 days 08:47:00.000000000,1
421,26 days 21:17:00.000000000,1
422,117 days 13:29:00.000000000,1
423,31 days 13:20:00.000000000,1
424,13 days 05:05:00.000000000,1
425,8 days 03:00:00.000000000,1
426,0 days 05:40:00.000000000,1
427,70 days 03:27:00.000000000,1
428,8 days 11:08:00.000000000,1
429,0 days 03:38:00.000000000,1
430,55 days 07:44:00.000000000,1
431,27 days 03:27:00.000000000,1
432,14 days 05:03:00.000000000,1
433,48 days 03:54:00.000000000,1
434,230 days 04:40:00.000000000,1
435,49 days 22:58:00.000000000,1
436,5 days 20:45:00.000000000,1
437,8 days 15:38:00.000000000,1
438,17 days 21:13:00.000000000,1
439,2 days 08:39:00.000000000,1
440,138 days 04:04:00.000000000,1
441,30 days 06:02:00.000000000,1
442,248 days 04:30:00.000000000,1
443,5 days 06:22:00.000000000,1
444,34 days 06:07:00.000000000,1
445,36 days 03:00:00.000000000,1
446,31 days 10:04:00.000000000,1
447,0 days 02:50:00.000000000,1
448,130 days 08:59:00.000000000,1
449,8 days 06:03:00.000000000,1
450,94 days 06:47:00.000000000,1
451,43 days 23:32:00.000000000,1
452,184 days 00:29:00.000000000,1
453,217 days 02:34:00.000000000,1
454,60 days 05:45:00.000000000,1
455,98 days 03:49:00.000000000,1
456,1 days 07:53:00.000000000,1
457,70 days 21:19:00.000000000,1
458,215 days 07:30:00.000000000,1
459,13 days 07:07:00.000000000,1
460,3 days 08:37:00.000000000,1
461,83 days 08:19:00.000000000,1
462,8 days 11:47:00.000000000,1
463,26 days 08:08:00.000000000,1
464,16 days 08:15:00.000000000,1
465,114 days 13:09:00.000000000,1
466,29 days 03:23:00.000000000,1
467,41 days 05:40:00.000000000,1
468,3 days 08:50:00.000000000,1
469,99 days 04:13:00.000000000,1
470,264 days 02:00:00.000000000,1
471,112 days 13:48:00.000000000,1
472,4 days 00:53:00.000000000,1
473,35 days 02:27:00.000000000,1
474,0 days 07:16:00.000000000,1
475,76 days 06:57:00.000000000,1
476,9 days 04:38:00.000000000,1
477,7 days 04:25:00.000000000,1
478,16 days 23:21:00.000000000,1
479,92 days 07:43:00.000000000,1
480,44 days 00:07:00.000000000,1
481,78 days 05:48:00.000000000,1
482,26 days 07:20:00.000000000,1
483,140 days 00:00:00.000000000,1
484,149 days 07:24:00.000000000,1
485,29 days 06:39:00.000000000,1
486,35 days 01:39:00.000000000,1
487,58 days 05:36:00.000000000,1
488,23 days 00:58:00.000000000,1
489,13 days 01:49:00.000000000,1
490,57 days 06:26:00.000000000,1
491,229 days 10:35:00.000000000,1
492,166 days 08:47:00.000000000,1
493,92 days 12:18:00.000000000,1
494,18 days 07:23:00.000000000,1
495,4 days 02:55:00.000000000,1
496,28 days 09:18:00.000000000,1
497,169 days 12:41:00.000000000,1
498,7 days 02:27:00.000000000,1
499,101 days 14:45:00.000000000,1
500,2 days 07:47:00.000000000,1
501,5 days 00:12:00.000000000,1
502,148 days 20:39:00.000000000,1
503,9 days 11:02:00.000000000,1
504,111 days 10:00:00.000000000,1
505,7 days 05:44:00.000000000,1
506,47 days 04:52:00.000000000,1
507,3 days 00:47:00.000000000,1
508,5 days 04:47:00.000000000,1
509,185 days 04:48:00.000000000,1
510,146 days 03:12:00.000000000,1
511,3 days 09:30:00.000000000,1
512,13 days 02:24:00.000000000,1
513,0 days 09:23:00.000000000,1
514,152 days 05:02:00.000000000,1
515,4 days 22:54:00.000000000,1
516,0 days 20:21:00.000000000,1
517,140 days 14:27:00.000000000,1
518,22 days 15:45:00.000000000,1
519,0 days 06:20:00.000000000,1
520,15 days 08:26:00.000000000,1
521,104 days 19:45:00.000000000,1
522,50 days 13:07:00.000000000,1
523,31 days 08:54:00.000000000,1
524,43 days 04:47:00.000000000,1
525,21 days 14:20:00.000000000,1
526,22 days 11:28:00.000000000,1
527,92 days 21:57:00.000000000,1
528,26 days 00:00:00.000000000,1
529,48 days 10:30:00.000000000,1
530,16 days 02:35:00.000000000,1
