,index,temperature_discharge
245,96.08000183105469,2
246,78.4000015258789,2
247,38.20000076293945,2
248,38.900001525878906,2
249,79.9000015258789,2
250,39.0,2
251,149.0,2
252,79.5,2
253,8.399999618530273,2
254,78.5999984741211,2
255,80.4000015258789,2
256,78.30000305175781,2
257,41.900001525878906,2
258,8.199999809265137,2
259,77.0,2
260,74.80000305175781,2
261,145.8000030517578,2
262,44.20000076293945,2
263,70.69999694824219,2
264,9.300000190734863,2
265,46.79999923706055,2
266,47.5,2
267,67.5,2
268,53.599998474121094,2
269,66.19999694824219,2
270,146.8000030517578,2
271,143.60000610351562,2
272,61.0,2
273,35.29999923706055,2
274,103.9000015258789,2
275,87.4000015258789,2
276,9.600000381469727,2
277,87.0999984741211,2
278,7.599999904632568,2
279,107.0999984741211,2
280,107.5999984741211,2
