,index,length_of_stay_in_days
292,2.8333332538604736,312
293,2.8645832538604736,311
294,1.9076389074325562,311
295,1.1319444179534912,311
296,2.8229167461395264,311
297,2.1423611640930176,311
298,3.25,310
299,0.7465277910232544,310
300,1.7430555820465088,310
301,3.1458332538604736,309
302,1.7083333730697632,309
303,1.1006944179534912,309
304,1.6597222089767456,309
305,2.940972328186035,308
306,2.7916667461395264,308
307,2.965277671813965,307
308,2.180555582046509,307
309,0.7847222089767456,307
310,3.0798611640930176,307
311,2.222222328186035,306
312,1.6458333730697632,306
313,2.975694417953491,306
314,2.0055556297302246,306
315,0.8715277910232544,306
316,2.847222328186035,305
317,0.8194444179534912,305
318,2.3541667461395264,305
319,1.1736111640930176,305
320,2.930555582046509,304
321,0.7673611044883728,304
322,1.9013888835906982,304
323,1.2222222089767456,304
324,1.9854166507720947,304
325,2.1736111640930176,304
326,1.21875,303
327,1.6354166269302368,303
328,2.0263888835906982,303
329,0.8055555820465088,302
330,2.7083332538604736,302
331,0.7395833134651184,301
332,2.3020832538604736,301
333,0.7951388955116272,301
334,2.0222222805023193,300
335,1.1701388359069824,300
336,1.7152777910232544,300
337,1.9597222805023193,300
338,0.71875,300
339,2.190972328186035,300
340,1.9534722566604614,299
341,1.7534722089767456,299
342,0.7777777910232544,299
343,0.980555534362793,299
344,0.8159722089767456,299
345,2.7395832538604736,299
346,3.090277671813965,298
347,1.8861111402511597,298
348,2.225694417953491,298
349,3.1145832538604736,298
350,1.9840277433395386,298
351,2.840277671813965,298
352,0.7291666865348816,298
353,1.8833333253860474,298
354,2.6666667461395264,297
355,2.34375,297
356,2.340277671813965,297
357,1.2118055820465088,297
358,1.6701388359069824,297
359,2.881944417953491,297
360,2.194444417953491,297
361,1.8708332777023315,297
362,1.956944465637207,297
363,1.2395833730697632,297
364,2.8125,296
365,2.018749952316284,295
366,3.09375,295
367,1.8937499523162842,295
368,1.1805555820465088,295
369,0.6666666865348816,295
370,2.878472328186035,295
371,1.9972221851348877,295
372,1.2048611640930176,295
373,1.3020833730697632,294
374,2.0013887882232666,294
375,1.9243055582046509,294
376,1.3125,294
377,2.850694417953491,294
378,1.9347221851348877,294
379,1.9916666746139526,293
380,1.882638931274414,293
381,1.2465277910232544,293
382,1.6319444179534912,293
383,2.078472137451172,293
384,1.9951388835906982,293
385,2.972222328186035,292
386,2.71875,292
387,1.65625,292
388,1.8527777194976807,292
389,1.1631944179534912,292
390,3.0833332538604736,292
391,2.8611111640930176,291
392,2.961805582046509,291
393,1.9979166984558105,291
394,1.6145833730697632,291
395,2.243055582046509,291
396,1.9465277194976807,291
397,0.6875,291
398,1.8736110925674438,291
399,0.7083333134651184,290
400,2.211805582046509,290
