,index,bmi_discharge
595,32.3,471
596,20.85,471
597,22.61,470
598,26.18,470
599,23.87,469
600,22.87,469
601,19.14,469
602,27.87,469
603,24.59,468
604,22.4,468
605,24.06,468
606,24.9,467
607,28.26,467
608,21.09,467
609,27.53,467
610,24.67,467
611,29,467
612,27.9,467
613,25.59,466
614,24.52,466
615,25.96,466
616,26.33,466
617,30.21,465
618,28.74,465
619,31.87,465
620,29.15,465
621,20.92,464
622,22.83,464
623,27.27,463
624,25.2,463
625,23.09,462
626,29.75,462
627,28.95,461
628,27.47,461
629,31.48,460
630,29.06,460
631,22.69,460
632,21.45,459
633,29.01,459
634,20.66,458
635,30.24,458
636,26.36,458
637,36.61,458
638,31.07,457
639,31.53,457
640,30.02,457
641,28.67,457
642,28.05,456
643,26.24,456
644,27.09,456
645,29.69,456
646,24.62,455
647,22.55,455
648,24.09,455
649,29.43,454
650,27.14,454
651,33.66,454
652,19.77,454
653,31.94,454
654,27.36,453
655,24.3,453
656,29.71,453
657,33.63,453
658,31.12,453
659,34.7,452
660,23.2,452
661,23.31,452
662,23.89,452
663,19.2,451
664,31.46,451
665,27.94,451
666,28.76,451
667,22.99,451
668,27.18,451
669,25.72,450
670,25.65,450
671,34.87,450
672,26.07,450
673,30.87,449
674,27.5,449
675,27.97,449
676,32.14,448
677,30.17,448
678,34.31,448
679,24.42,448
680,32.22,448
681,28.51,447
682,28.71,447
683,32.95,447
684,26.12,446
685,29.37,446
686,25.64,446
687,21.35,446
688,34.67,446
689,25.88,445
690,30.86,445
691,26.99,445
692,27.95,445
693,20.51,445
694,23.68,444
695,25.35,444
696,30.28,444
697,25.22,443
698,24.31,443
699,26.14,443
700,22.63,443
701,22.02,442
702,30.5,442
703,24.01,442
704,33.09,441
705,23.15,441
706,21.62,441
707,34.46,441
708,28.68,441
709,33.75,441
710,29.49,441
711,26.81,440
712,29.94,440
713,23.99,440
714,23.53,440
715,32.96,440
716,30.81,440
717,31.33,439
718,23.35,439
719,21.53,439
720,32.5,439
721,23.04,439
722,33.23,439
723,27.33,438
724,31.79,438
725,30.83,438
726,29.09,438
727,30.8,438
728,28.44,438
729,24.19,437
730,31.78,437
731,32.69,435
732,22.59,435
733,29.55,434
734,25.47,434
735,22.47,434
736,27.08,433
737,30.88,433
738,19.49,433
739,25.87,433
740,23.79,433
741,23.55,432
742,26.38,432
743,32.62,432
744,28.22,432
745,29.85,432
746,25.48,432
747,26.65,431
748,24.05,431
749,20.09,431
750,29.66,431
751,21.47,430
752,25.71,430
753,21.94,430
754,33.25,430
755,20.75,430
756,28.03,430
757,36.49,430
758,25.32,429
759,27.58,429
760,34.45,428
761,22.76,428
762,22.37,428
763,31.74,428
764,33.13,428
765,30.35,428
766,24.99,428
767,32.59,427
768,23.9,427
769,33.89,427
770,19.57,427
771,23.76,427
772,20.81,426
773,20.18,426
774,21.3,425
775,28.93,425
776,26.88,425
777,24.92,425
778,31.6,425
779,24.16,425
780,34.95,424
781,21.75,424
782,22.68,423
783,26.28,423
784,29.58,423
785,23.66,423
786,20.08,423
787,31.14,423
788,21.81,422
789,22.08,422
790,26.86,422
791,28.23,422
792,30.57,422
793,29.2,421
794,30.95,421
795,27.54,421
796,25.45,421
797,32.93,421
798,22.58,421
799,27.65,420
800,22.79,420
801,21.86,420
802,22.74,420
803,29.89,419
804,22.48,419
805,26.53,419
806,29.19,418
807,25.91,418
808,22.9,418
809,31.81,418
810,31.66,418
811,29.48,417
812,22.98,416
813,29.67,416
814,21.44,416
815,23.29,416
816,24.65,415
817,19.64,414
818,23.58,414
819,29.6,414
820,32.58,414
821,29.25,413
822,29.92,413
823,27.19,413
824,32.26,412
825,25.01,412
826,21.89,412
827,31.55,411
828,20.83,411
829,25.17,411
830,22.22,410
831,31.35,410
832,27.35,409
833,19.92,409
834,29.28,408
835,22.7,408
836,21.68,407
837,22.62,407
838,33.83,406
839,19.8,406
840,24.4,406
841,21.56,406
842,21.28,405
843,22.06,405
844,26.67,404
845,23.61,403
846,30.25,402
847,27.3,402
848,31.42,401
849,21.4,401
850,19.94,401
851,28.4,400
852,22.1,400
853,34.54,400
854,26.98,400
855,28.83,400
856,20.9,399
857,30.6,399
858,27.39,399
859,29.14,398
860,23.32,398
861,28.69,398
862,22.35,397
863,34.97,397
864,32.54,397
865,32.6,396
866,32.04,396
867,31.44,396
868,30.78,395
869,29.36,395
870,19.97,395
871,31.39,395
872,27.7,395
873,21.9,395
874,22.88,395
875,26.71,395
876,29.82,394
877,29.97,394
878,31.51,394
879,22.84,393
880,36.28,393
881,31.82,393
882,23.25,392
883,25.43,392
884,35.19,392
885,25.95,392
886,38.74,392
887,21.31,391
888,30.55,391
889,29.08,390
890,30.05,390
891,28.02,390
892,19.84,390
893,24.23,390
894,33.99,390
895,24.49,390
896,26.55,389
897,28.6,389
898,27.16,389
899,22.17,389
900,35.78,388
901,22.16,388
902,28.61,387
903,33.84,387
904,26.27,387
905,28.01,387
906,23.37,387
907,34.72,387
908,21.12,387
909,30.66,387
910,30.89,387
911,33.49,387
912,30.53,386
913,21.49,386
914,21.71,386
915,32.06,386
916,24.32,386
917,29.9,386
918,29.51,385
919,32.11,385
920,32.32,385
921,31.71,385
922,24.83,385
923,22.18,385
924,22.51,384
925,21.74,384
926,29.72,383
927,36.03,383
928,27.13,383
929,21.24,383
930,26.35,383
931,25.36,382
932,34.18,382
933,26.68,382
934,28.58,382
935,20.25,382
936,30.49,380
937,31.15,380
938,30.4,380
939,25.49,380
940,22.56,379
941,33.59,379
942,28.11,379
943,27.24,379
944,30.64,379
945,24.12,379
946,31.7,379
947,30.32,378
948,20.19,378
949,21.64,378
950,31.84,378
951,23.93,378
952,21.11,378
953,26.06,378
954,30.51,377
955,20.58,376
956,32.24,376
957,26.74,376
958,20.2,376
959,37.11,376
960,24.73,376
961,30.36,375
962,23.51,375
963,30.84,375
964,28.78,375
965,21.22,374
966,21.99,374
967,37.12,374
968,25.3,374
969,30.91,374
970,33.27,373
971,28.56,373
972,25.93,373
973,36.05,373
974,26.2,372
975,32.73,372
976,23.27,372
977,29.42,372
978,32.74,372
979,23.19,372
980,29.46,372
981,22.44,372
982,31.05,371
983,34.11,371
984,24.38,370
985,24.35,370
986,31.8,370
987,23.84,370
988,23.45,370
989,28.2,370
990,32.19,369
991,31.85,369
992,29.32,369
993,34.39,369
994,31.37,369
995,28.88,368
996,27.04,368
997,34.75,368
998,23.22,367
999,32.17,367
1000,22.04,367
1001,20.45,366
1002,33.12,365
1003,32.98,365
1004,22.97,365
1005,29.96,365
1006,19.74,364
1007,32.56,364
1008,22.52,364
1009,21.55,364
1010,34.41,363
1011,28.38,363
1012,24.26,363
1013,34.22,363
1014,27.74,363
1015,21.38,362
1016,28.81,362
1017,32.37,361
1018,24.15,361
1019,28.39,361
1020,33.65,361
1021,30.92,360
1022,20.22,360
1023,29.88,360
1024,34.37,360
1025,32.25,360
1026,23.14,360
1027,29.56,359
1028,35.53,359
1029,34.38,359
1030,29.38,359
1031,22.8,359
1032,20.55,359
1033,35.51,358
1034,21.42,358
1035,32.44,358
1036,35.67,358
1037,37.59,358
1038,32.88,358
1039,31.03,357
1040,27.83,357
1041,38.41,357
1042,31.67,357
1043,31.97,357
1044,36.58,357
1045,33.72,357
1046,20.3,356
1047,34.06,355
1048,26.1,355
1049,32.43,355
1050,33.96,355
1051,21.1,355
1052,33.98,355
1053,20.5,355
1054,20.94,355
1055,30.1,354
1056,35.26,354
1057,21.32,354
1058,21.37,353
1059,29.73,353
1060,31.65,352
1061,35.94,352
1062,31.9,352
1063,38.27,352
1064,28.86,352
1065,33.15,352
1066,24.44,352
1067,33.46,351
1068,32.27,351
1069,20.82,351
1070,21.02,351
1071,21.67,350
1072,25.67,350
1073,32.41,349
1074,30.46,349
1075,31.06,349
1076,27.68,349
1077,30.59,348
1078,31.58,348
1079,20.89,348
1080,34.02,348
1081,22.95,348
1082,31.21,348
1083,24.5,348
1084,30.31,348
1085,21.16,347
1086,26.42,347
1087,28.54,347
1088,24.57,346
1089,28.77,346
1090,30.14,346
1091,30.37,346
1092,30.69,346
1093,24.04,346
1094,32,346
1095,31.16,346
1096,23.54,346
1097,36.32,345
1098,35.12,345
1099,36.9,345
1100,23.28,344
1101,18.25,344
1102,33.02,344
1103,34.57,344
1104,33.95,343
1105,20.62,343
1106,35.28,343
1107,19.26,343
1108,21.85,343
1109,31.22,342
1110,30.96,342
1111,21.43,342
1112,27.56,342
1113,33.36,342
1114,22.75,342
1115,34.61,341
1116,29.33,341
1117,20.7,341
1118,21.65,341
1119,28.85,340
1120,30.74,340
1121,33.51,340
1122,31.52,340
1123,32.91,340
1124,33.82,340
1125,29.4,340
1126,20.07,340
1127,33.64,339
1128,35,339
1129,28.96,339
1130,21.82,338
1131,22.21,338
1132,25.26,338
1133,32.39,338
1134,33.29,338
1135,34.96,337
1136,22.34,337
1137,20.93,336
1138,21.6,336
1139,22.77,336
1140,32.03,336
1141,30.39,336
1142,30.15,336
1143,29.64,336
1144,34.19,335
1145,18.47,335
1146,21.23,335
1147,24.47,334
1148,20.59,334
1149,31.04,334
1150,21.73,334
1151,24.7,334
1152,18.88,333
1153,25.14,333
1154,27.01,333
1155,21.21,333
1156,22.64,333
1157,21.08,333
1158,21.72,333
1159,28.09,332
1160,35.73,332
1161,34.16,332
1162,22.12,332
1163,34.2,332
1164,28.64,331
1165,32.46,331
1166,33.11,331
1167,38.09,331
1168,30.93,330
1169,29.81,330
1170,21.06,330
1171,31.73,329
1172,32.2,329
1173,31.1,329
1174,34.86,329
1175,22.09,329
1176,18.79,329
1177,30.97,328
1178,32.18,328
1179,21.51,328
1180,21.2,328
1181,33.52,328
1182,20.43,328
1183,20.96,328
1184,32.7,327
1185,31.99,327
1186,35.08,327
1187,20.63,327
1188,19.31,326
1189,24.85,326
1190,20.47,326
1191,33.86,326
1192,20.24,326
1193,28.99,326
1194,34.48,325
1195,33.08,325
1196,30.94,325
1197,31.26,324
1198,33.07,324
1199,36.33,324
1200,19.22,324
1201,24.77,323
1202,26.9,323
1203,22.28,323
1204,21.25,323
1205,36.21,323
1206,30.48,322
1207,32.23,322
1208,22.07,322
1209,19.99,322
1210,26.77,321
1211,28.45,321
1212,31.13,321
1213,31.4,321
1214,19.79,321
1215,22.23,321
1216,21.96,321
1217,32.87,321
1218,23.64,320
1219,29.74,320
1220,19.67,320
1221,21.18,320
1222,33.61,320
1223,32.65,320
1224,32.81,319
1225,33.73,319
1226,19.89,319
1227,20.41,319
1228,33.53,318
1229,29.77,318
