,index,length_of_stay
25296,15 days 07:24:00.000000000,4
25297,22 days 22:22:00.000000000,4
25298,19 days 23:37:00.000000000,4
25299,17 days 17:16:00.000000000,4
25300,27 days 21:05:00.000000000,4
25301,19 days 19:06:00.000000000,4
25302,26 days 01:08:00.000000000,4
25303,22 days 23:44:00.000000000,4
25304,21 days 23:38:00.000000000,4
25305,21 days 03:50:00.000000000,4
25306,22 days 21:21:00.000000000,4
25307,21 days 23:36:00.000000000,4
25308,18 days 19:27:00.000000000,4
25309,21 days 05:33:00.000000000,4
25310,22 days 01:38:00.000000000,4
25311,18 days 07:50:00.000000000,4
25312,19 days 14:55:00.000000000,4
25313,17 days 17:35:00.000000000,4
25314,16 days 08:09:00.000000000,4
25315,16 days 14:35:00.000000000,4
25316,19 days 08:27:00.000000000,4
25317,22 days 00:58:00.000000000,4
25318,17 days 18:37:00.000000000,4
25319,19 days 13:54:00.000000000,4
25320,15 days 17:53:00.000000000,4
25321,20 days 07:59:00.000000000,4
25322,14 days 16:17:00.000000000,4
25323,27 days 21:22:00.000000000,4
25324,22 days 00:37:00.000000000,4
25325,20 days 10:01:00.000000000,4
25326,23 days 02:26:00.000000000,4
25327,24 days 01:59:00.000000000,4
25328,16 days 18:45:00.000000000,4
25329,21 days 07:57:00.000000000,4
25330,22 days 02:41:00.000000000,4
25331,16 days 12:11:00.000000000,4
25332,19 days 01:57:00.000000000,4
25333,17 days 18:56:00.000000000,4
25334,19 days 23:52:00.000000000,4
25335,22 days 04:49:00.000000000,4
25336,17 days 16:54:00.000000000,4
25337,21 days 23:12:00.000000000,4
25338,18 days 15:20:00.000000000,4
25339,25 days 20:20:00.000000000,4
25340,19 days 23:27:00.000000000,4
25341,20 days 22:39:00.000000000,4
25342,15 days 07:56:00.000000000,4
25343,18 days 00:21:00.000000000,4
25344,14 days 10:24:00.000000000,4
25345,31 days 21:48:00.000000000,4
25346,18 days 01:46:00.000000000,4
25347,16 days 07:43:00.000000000,4
25348,20 days 07:43:00.000000000,4
25349,18 days 15:45:00.000000000,4
25350,14 days 07:21:00.000000000,4
25351,16 days 03:26:00.000000000,4
25352,19 days 04:45:00.000000000,4
25353,21 days 13:22:00.000000000,4
25354,14 days 13:38:00.000000000,4
25355,12 days 11:11:00.000000000,4
25356,19 days 15:34:00.000000000,4
25357,16 days 20:41:00.000000000,4
25358,18 days 16:46:00.000000000,4
25359,25 days 15:48:00.000000000,4
25360,13 days 10:38:00.000000000,4
25361,20 days 20:35:00.000000000,4
25362,16 days 07:06:00.000000000,4
25363,18 days 04:00:00.000000000,4
25364,17 days 00:46:00.000000000,4
25365,24 days 05:27:00.000000000,4
25366,17 days 09:43:00.000000000,4
25367,23 days 10:21:00.000000000,4
25368,20 days 03:56:00.000000000,4
25369,27 days 16:38:00.000000000,4
25370,15 days 12:24:00.000000000,4
25371,20 days 04:34:00.000000000,4
25372,16 days 23:09:00.000000000,4
25373,23 days 17:28:00.000000000,4
25374,17 days 22:56:00.000000000,4
25375,21 days 18:48:00.000000000,4
25376,17 days 19:53:00.000000000,4
25377,22 days 19:03:00.000000000,4
25378,16 days 08:43:00.000000000,4
25379,17 days 08:54:00.000000000,4
25380,19 days 22:26:00.000000000,4
25381,15 days 04:53:00.000000000,4
25382,21 days 01:04:00.000000000,4
25383,22 days 13:13:00.000000000,4
25384,18 days 02:23:00.000000000,4
25385,20 days 10:40:00.000000000,4
25386,16 days 05:28:00.000000000,4
25387,17 days 12:46:00.000000000,4
25388,13 days 15:43:00.000000000,4
25389,28 days 20:32:00.000000000,4
25390,13 days 15:28:00.000000000,4
25391,14 days 03:54:00.000000000,4
25392,27 days 19:53:00.000000000,4
25393,19 days 22:28:00.000000000,4
25394,16 days 10:57:00.000000000,4
25395,15 days 05:41:00.000000000,4
25396,15 days 09:21:00.000000000,4
25397,26 days 19:53:00.000000000,4
25398,15 days 10:09:00.000000000,4
25399,14 days 08:33:00.000000000,4
25400,19 days 00:19:00.000000000,4
25401,21 days 03:46:00.000000000,4
25402,16 days 14:11:00.000000000,4
25403,17 days 04:12:00.000000000,4
25404,20 days 00:06:00.000000000,4
25405,16 days 08:55:00.000000000,4
25406,15 days 11:47:00.000000000,4
25407,14 days 20:21:00.000000000,4
25408,17 days 16:50:00.000000000,4
25409,16 days 11:32:00.000000000,4
25410,17 days 02:14:00.000000000,4
25411,22 days 09:33:00.000000000,4
25412,13 days 12:52:00.000000000,4
25413,22 days 09:43:00.000000000,4
25414,21 days 21:44:00.000000000,4
25415,16 days 11:58:00.000000000,4
25416,15 days 21:09:00.000000000,4
25417,23 days 01:12:00.000000000,4
25418,14 days 10:35:00.000000000,4
25419,16 days 05:52:00.000000000,4
25420,26 days 18:41:00.000000000,4
25421,18 days 10:16:00.000000000,4
25422,13 days 13:27:00.000000000,4
25423,22 days 21:10:00.000000000,4
25424,19 days 00:54:00.000000000,4
25425,15 days 08:44:00.000000000,4
25426,28 days 02:50:00.000000000,4
25427,17 days 18:02:00.000000000,4
25428,14 days 06:30:00.000000000,4
25429,20 days 15:08:00.000000000,4
25430,15 days 11:10:00.000000000,4
25431,14 days 05:56:00.000000000,4
25432,14 days 16:06:00.000000000,4
25433,20 days 14:05:00.000000000,4
25434,17 days 19:03:00.000000000,4
25435,22 days 22:11:00.000000000,4
25436,21 days 16:44:00.000000000,4
25437,18 days 05:13:00.000000000,4
25438,16 days 15:47:00.000000000,4
25439,17 days 13:51:00.000000000,4
25440,21 days 18:20:00.000000000,4
25441,17 days 03:42:00.000000000,4
25442,21 days 03:05:00.000000000,4
25443,11 days 09:59:00.000000000,4
25444,18 days 09:52:00.000000000,4
25445,14 days 17:42:00.000000000,4
25446,19 days 17:55:00.000000000,4
25447,21 days 15:04:00.000000000,4
25448,21 days 14:00:00.000000000,4
25449,18 days 04:33:00.000000000,4
25450,25 days 17:13:00.000000000,4
25451,16 days 19:46:00.000000000,4
25452,18 days 18:34:00.000000000,4
25453,14 days 04:43:00.000000000,4
25454,15 days 10:46:00.000000000,4
25455,22 days 01:01:00.000000000,4
25456,21 days 17:45:00.000000000,4
25457,26 days 05:15:00.000000000,4
25458,13 days 04:37:00.000000000,4
25459,18 days 04:49:00.000000000,4
25460,22 days 23:59:00.000000000,4
25461,14 days 10:49:00.000000000,4
25462,21 days 02:49:00.000000000,4
25463,20 days 15:55:00.000000000,4
25464,15 days 19:31:00.000000000,4
25465,31 days 21:12:00.000000000,4
25466,19 days 23:29:00.000000000,4
25467,19 days 15:40:00.000000000,4
25468,17 days 17:50:00.000000000,4
25469,25 days 22:55:00.000000000,4
25470,13 days 07:47:00.000000000,4
25471,18 days 01:09:00.000000000,4
25472,29 days 04:10:00.000000000,4
25473,18 days 22:17:00.000000000,4
25474,20 days 16:56:00.000000000,4
25475,15 days 01:50:00.000000000,4
25476,18 days 03:13:00.000000000,4
25477,29 days 01:20:00.000000000,4
25478,17 days 09:19:00.000000000,4
25479,20 days 01:29:00.000000000,4
25480,16 days 10:30:00.000000000,4
25481,16 days 14:37:00.000000000,4
25482,18 days 07:52:00.000000000,4
25483,21 days 21:34:00.000000000,4
25484,17 days 14:48:00.000000000,4
25485,12 days 12:39:00.000000000,4
25486,17 days 15:49:00.000000000,4
25487,23 days 05:29:00.000000000,4
25488,13 days 14:17:00.000000000,4
25489,16 days 18:17:00.000000000,4
25490,19 days 20:00:00.000000000,4
25491,20 days 17:32:00.000000000,4
25492,17 days 22:55:00.000000000,4
25493,16 days 00:09:00.000000000,4
25494,13 days 15:16:00.000000000,4
25495,16 days 23:58:00.000000000,4
25496,14 days 20:03:00.000000000,4
25497,15 days 04:08:00.000000000,4
25498,17 days 19:22:00.000000000,4
25499,22 days 20:39:00.000000000,4
25500,20 days 15:43:00.000000000,4
25501,13 days 05:06:00.000000000,4
25502,26 days 22:42:00.000000000,4
25503,20 days 10:41:00.000000000,4
25504,22 days 01:07:00.000000000,4
25505,34 days 03:06:00.000000000,4
25506,19 days 15:17:00.000000000,4
25507,20 days 21:58:00.000000000,4
25508,17 days 05:25:00.000000000,4
25509,16 days 15:20:00.000000000,4
25510,23 days 05:43:00.000000000,4
25511,22 days 08:30:00.000000000,4
25512,25 days 01:00:00.000000000,4
25513,22 days 23:07:00.000000000,4
25514,14 days 07:06:00.000000000,4
25515,16 days 08:41:00.000000000,4
25516,23 days 01:26:00.000000000,4
25517,23 days 03:41:00.000000000,4
25518,23 days 19:50:00.000000000,4
25519,18 days 07:12:00.000000000,4
25520,14 days 20:37:00.000000000,4
25521,24 days 03:59:00.000000000,4
25522,17 days 17:23:00.000000000,4
25523,19 days 06:15:00.000000000,4
25524,13 days 11:12:00.000000000,4
25525,12 days 09:43:00.000000000,4
25526,16 days 12:56:00.000000000,4
25527,21 days 03:27:00.000000000,4
25528,11 days 14:06:00.000000000,4
25529,19 days 14:53:00.000000000,4
25530,15 days 06:16:00.000000000,4
25531,15 days 23:25:00.000000000,4
25532,21 days 19:22:00.000000000,4
25533,21 days 02:20:00.000000000,4
25534,18 days 00:17:00.000000000,4
25535,27 days 01:39:00.000000000,4
25536,20 days 03:34:00.000000000,4
25537,18 days 13:17:00.000000000,4
25538,11 days 10:57:00.000000000,4
25539,17 days 16:22:00.000000000,4
25540,17 days 22:15:00.000000000,4
25541,27 days 02:40:00.000000000,4
25542,16 days 12:51:00.000000000,4
25543,16 days 18:13:00.000000000,4
25544,17 days 15:21:00.000000000,4
25545,15 days 15:06:00.000000000,4
25546,19 days 05:13:00.000000000,4
25547,16 days 16:11:00.000000000,4
25548,18 days 02:19:00.000000000,4
25549,19 days 00:28:00.000000000,4
25550,15 days 19:47:00.000000000,4
25551,12 days 06:33:00.000000000,4
25552,18 days 13:32:00.000000000,4
25553,13 days 13:01:00.000000000,4
25554,22 days 06:59:00.000000000,4
25555,24 days 18:29:00.000000000,4
25556,14 days 08:21:00.000000000,4
25557,17 days 19:48:00.000000000,4
25558,18 days 20:34:00.000000000,4
25559,13 days 15:31:00.000000000,4
25560,19 days 03:31:00.000000000,4
25561,12 days 16:19:00.000000000,4
25562,26 days 02:14:00.000000000,4
25563,10 days 12:24:00.000000000,4
25564,15 days 10:20:00.000000000,4
25565,20 days 04:22:00.000000000,4
25566,22 days 16:01:00.000000000,4
25567,21 days 07:59:00.000000000,4
25568,18 days 10:29:00.000000000,4
25569,17 days 18:39:00.000000000,4
25570,15 days 02:43:00.000000000,4
25571,24 days 19:08:00.000000000,4
25572,19 days 18:38:00.000000000,4
25573,22 days 00:35:00.000000000,4
25574,18 days 11:29:00.000000000,4
25575,15 days 14:24:00.000000000,4
25576,27 days 05:12:00.000000000,4
25577,18 days 07:39:00.000000000,4
25578,33 days 18:44:00.000000000,4
25579,17 days 17:38:00.000000000,4
25580,23 days 01:21:00.000000000,4
25581,19 days 00:29:00.000000000,4
25582,15 days 20:48:00.000000000,4
25583,14 days 09:08:00.000000000,4
25584,20 days 05:23:00.000000000,4
25585,27 days 14:45:00.000000000,4
25586,20 days 05:16:00.000000000,4
25587,18 days 17:57:00.000000000,4
25588,17 days 09:15:00.000000000,4
25589,17 days 03:09:00.000000000,4
25590,19 days 15:35:00.000000000,4
25591,21 days 05:29:00.000000000,4
25592,20 days 20:04:00.000000000,4
25593,25 days 02:25:00.000000000,4
25594,26 days 18:32:00.000000000,4
25595,13 days 20:08:00.000000000,4
25596,16 days 12:07:00.000000000,4
25597,23 days 20:27:00.000000000,4
25598,15 days 07:17:00.000000000,4
25599,23 days 00:03:00.000000000,4
25600,22 days 16:30:00.000000000,4
25601,20 days 10:51:00.000000000,4
25602,16 days 14:03:00.000000000,4
25603,29 days 01:12:00.000000000,4
25604,23 days 15:05:00.000000000,4
25605,13 days 11:13:00.000000000,4
25606,19 days 22:29:00.000000000,4
25607,20 days 22:40:00.000000000,4
25608,15 days 06:30:00.000000000,4
25609,19 days 10:49:00.000000000,4
25610,29 days 00:11:00.000000000,4
25611,16 days 23:43:00.000000000,4
25612,20 days 14:15:00.000000000,4
25613,14 days 14:08:00.000000000,4
25614,16 days 12:43:00.000000000,4
25615,17 days 12:26:00.000000000,4
25616,17 days 15:22:00.000000000,4
25617,17 days 19:06:00.000000000,4
25618,20 days 11:16:00.000000000,4
25619,25 days 21:25:00.000000000,4
25620,15 days 11:26:00.000000000,4
25621,20 days 20:32:00.000000000,4
25622,21 days 01:17:00.000000000,4
25623,12 days 05:23:00.000000000,4
25624,21 days 00:58:00.000000000,4
25625,21 days 14:30:00.000000000,4
25626,18 days 13:41:00.000000000,4
25627,16 days 02:51:00.000000000,4
25628,20 days 00:31:00.000000000,4
25629,19 days 04:02:00.000000000,4
25630,18 days 00:41:00.000000000,4
25631,13 days 11:11:00.000000000,4
25632,11 days 12:48:00.000000000,4
25633,22 days 04:31:00.000000000,4
25634,12 days 09:35:00.000000000,4
25635,20 days 06:20:00.000000000,4
25636,17 days 16:32:00.000000000,4
25637,14 days 11:05:00.000000000,4
25638,21 days 00:29:00.000000000,4
25639,29 days 19:30:00.000000000,4
25640,15 days 16:31:00.000000000,4
25641,18 days 09:20:00.000000000,4
25642,16 days 10:19:00.000000000,4
25643,18 days 06:31:00.000000000,4
25644,17 days 02:29:00.000000000,4
25645,27 days 23:49:00.000000000,4
25646,14 days 03:16:00.000000000,4
25647,20 days 21:39:00.000000000,4
25648,22 days 15:47:00.000000000,4
25649,24 days 18:50:00.000000000,4
25650,16 days 15:46:00.000000000,4
25651,21 days 19:03:00.000000000,4
25652,25 days 00:41:00.000000000,4
25653,21 days 15:12:00.000000000,4
25654,20 days 10:23:00.000000000,4
25655,17 days 14:28:00.000000000,4
25656,22 days 14:41:00.000000000,4
25657,15 days 03:08:00.000000000,4
25658,20 days 16:34:00.000000000,4
25659,24 days 00:45:00.000000000,4
25660,22 days 21:22:00.000000000,4
25661,21 days 05:14:00.000000000,4
25662,21 days 04:33:00.000000000,4
25663,18 days 22:19:00.000000000,4
25664,16 days 11:50:00.000000000,4
25665,20 days 07:14:00.000000000,4
25666,26 days 01:11:00.000000000,4
25667,17 days 16:58:00.000000000,4
25668,16 days 14:19:00.000000000,4
25669,22 days 23:02:00.000000000,4
25670,21 days 18:21:00.000000000,4
25671,15 days 04:14:00.000000000,4
25672,17 days 13:13:00.000000000,4
25673,20 days 01:24:00.000000000,4
25674,20 days 13:20:00.000000000,4
25675,20 days 15:33:00.000000000,4
25676,21 days 03:21:00.000000000,4
25677,19 days 22:23:00.000000000,4
25678,14 days 07:24:00.000000000,4
25679,18 days 06:59:00.000000000,4
25680,15 days 13:42:00.000000000,4
25681,20 days 04:15:00.000000000,4
25682,13 days 11:17:00.000000000,4
25683,22 days 02:10:00.000000000,4
25684,18 days 00:38:00.000000000,4
25685,22 days 14:35:00.000000000,4
25686,20 days 01:02:00.000000000,4
25687,19 days 08:44:00.000000000,4
25688,19 days 18:54:00.000000000,4
25689,27 days 17:59:00.000000000,4
25690,15 days 07:22:00.000000000,4
25691,13 days 11:55:00.000000000,4
25692,20 days 01:46:00.000000000,4
25693,17 days 07:45:00.000000000,4
25694,29 days 20:05:00.000000000,4
25695,15 days 14:25:00.000000000,4
25696,17 days 01:28:00.000000000,4
25697,26 days 03:01:00.000000000,4
25698,13 days 09:56:00.000000000,4
25699,27 days 19:08:00.000000000,4
25700,22 days 20:21:00.000000000,4
25701,16 days 09:48:00.000000000,4
25702,17 days 16:30:00.000000000,4
25703,19 days 00:59:00.000000000,4
25704,17 days 19:50:00.000000000,4
25705,18 days 19:38:00.000000000,4
25706,14 days 09:22:00.000000000,4
25707,16 days 07:41:00.000000000,4
25708,17 days 01:35:00.000000000,4
25709,23 days 17:12:00.000000000,4
25710,26 days 16:42:00.000000000,4
25711,22 days 23:50:00.000000000,4
25712,16 days 01:40:00.000000000,4
25713,21 days 00:56:00.000000000,4
25714,20 days 15:47:00.000000000,4
25715,21 days 17:55:00.000000000,4
25716,18 days 06:41:00.000000000,4
25717,18 days 05:32:00.000000000,4
25718,17 days 07:28:00.000000000,4
25719,16 days 07:50:00.000000000,4
25720,26 days 19:15:00.000000000,4
25721,20 days 21:05:00.000000000,4
25722,17 days 21:29:00.000000000,4
25723,22 days 02:50:00.000000000,4
25724,26 days 00:33:00.000000000,4
25725,18 days 17:54:00.000000000,4
25726,14 days 14:25:00.000000000,4
25727,19 days 21:51:00.000000000,4
25728,20 days 14:45:00.000000000,4
25729,19 days 01:31:00.000000000,4
25730,17 days 06:00:00.000000000,4
25731,17 days 17:43:00.000000000,4
25732,21 days 00:50:00.000000000,4
25733,23 days 15:50:00.000000000,4
25734,14 days 16:33:00.000000000,4
25735,19 days 23:57:00.000000000,4
25736,22 days 22:31:00.000000000,4
25737,27 days 00:30:00.000000000,4
25738,19 days 01:44:00.000000000,4
25739,19 days 00:41:00.000000000,4
25740,21 days 19:14:00.000000000,4
25741,13 days 11:30:00.000000000,4
25742,17 days 07:26:00.000000000,4
25743,19 days 19:35:00.000000000,4
25744,18 days 07:42:00.000000000,4
25745,14 days 15:26:00.000000000,4
25746,19 days 10:58:00.000000000,4
25747,14 days 21:32:00.000000000,4
25748,21 days 15:14:00.000000000,4
25749,18 days 02:55:00.000000000,4
25750,19 days 02:32:00.000000000,4
25751,19 days 23:40:00.000000000,4
25752,16 days 05:02:00.000000000,4
25753,16 days 08:52:00.000000000,4
25754,22 days 18:53:00.000000000,4
25755,20 days 04:48:00.000000000,4
25756,25 days 15:57:00.000000000,4
25757,16 days 12:38:00.000000000,4
25758,20 days 04:40:00.000000000,4
25759,27 days 21:15:00.000000000,4
25760,31 days 05:00:00.000000000,4
25761,20 days 17:45:00.000000000,4
25762,18 days 23:37:00.000000000,4
25763,18 days 16:55:00.000000000,4
25764,14 days 05:41:00.000000000,4
25765,26 days 02:41:00.000000000,4
25766,28 days 00:25:00.000000000,4
25767,17 days 11:58:00.000000000,4
25768,23 days 19:38:00.000000000,4
25769,16 days 06:40:00.000000000,4
25770,16 days 09:14:00.000000000,4
25771,22 days 19:21:00.000000000,4
25772,16 days 00:28:00.000000000,4
25773,21 days 08:45:00.000000000,4
25774,23 days 23:41:00.000000000,4
25775,22 days 17:51:00.000000000,4
25776,31 days 23:27:00.000000000,4
25777,19 days 21:14:00.000000000,4
25778,20 days 12:39:00.000000000,4
25779,18 days 23:02:00.000000000,4
25780,21 days 06:56:00.000000000,4
25781,15 days 09:03:00.000000000,4
25782,26 days 03:42:00.000000000,4
25783,17 days 19:27:00.000000000,4
25784,18 days 11:52:00.000000000,4
25785,16 days 00:56:00.000000000,4
25786,20 days 19:47:00.000000000,4
25787,28 days 22:33:00.000000000,4
25788,17 days 17:58:00.000000000,4
25789,21 days 02:52:00.000000000,4
25790,18 days 09:38:00.000000000,4
25791,19 days 14:28:00.000000000,4
25792,24 days 01:58:00.000000000,4
25793,23 days 18:35:00.000000000,4
25794,19 days 02:40:00.000000000,4
25795,15 days 06:53:00.000000000,4
25796,17 days 12:30:00.000000000,4
25797,14 days 05:54:00.000000000,4
25798,21 days 18:13:00.000000000,4
25799,17 days 02:39:00.000000000,4
25800,21 days 20:49:00.000000000,4
25801,20 days 01:55:00.000000000,4
25802,14 days 05:35:00.000000000,4
25803,29 days 01:32:00.000000000,4
25804,23 days 18:37:00.000000000,4
25805,17 days 16:57:00.000000000,4
25806,15 days 09:37:00.000000000,4
25807,17 days 22:50:00.000000000,4
25808,18 days 15:44:00.000000000,4
25809,17 days 03:37:00.000000000,4
25810,20 days 01:12:00.000000000,4
25811,19 days 20:50:00.000000000,4
25812,13 days 14:51:00.000000000,4
25813,23 days 00:30:00.000000000,4
25814,18 days 05:10:00.000000000,4
25815,15 days 22:18:00.000000000,4
25816,24 days 01:45:00.000000000,4
25817,25 days 21:50:00.000000000,4
25818,17 days 14:33:00.000000000,4
25819,14 days 09:18:00.000000000,4
25820,20 days 22:32:00.000000000,4
25821,16 days 12:39:00.000000000,4
25822,22 days 21:05:00.000000000,4
25823,17 days 19:40:00.000000000,4
25824,24 days 17:50:00.000000000,4
25825,16 days 21:56:00.000000000,4
25826,20 days 18:02:00.000000000,4
25827,15 days 16:02:00.000000000,4
25828,10 days 07:47:00.000000000,4
25829,19 days 19:39:00.000000000,4
25830,16 days 00:48:00.000000000,4
25831,13 days 10:32:00.000000000,4
25832,29 days 23:13:00.000000000,4
25833,17 days 17:36:00.000000000,4
25834,18 days 15:32:00.000000000,4
25835,18 days 02:37:00.000000000,4
25836,15 days 11:36:00.000000000,4
25837,24 days 03:47:00.000000000,4
25838,18 days 18:35:00.000000000,4
25839,18 days 13:30:00.000000000,4
25840,21 days 08:55:00.000000000,4
25841,23 days 02:15:00.000000000,4
25842,17 days 13:21:00.000000000,4
25843,14 days 05:14:00.000000000,4
25844,18 days 08:35:00.000000000,4
25845,16 days 21:29:00.000000000,4
25846,17 days 11:50:00.000000000,4
25847,15 days 13:24:00.000000000,4
25848,15 days 21:07:00.000000000,4
25849,18 days 00:30:00.000000000,4
25850,17 days 12:31:00.000000000,4
25851,17 days 23:29:00.000000000,4
25852,19 days 17:33:00.000000000,4
25853,26 days 13:11:00.000000000,4
25854,24 days 16:05:00.000000000,4
25855,15 days 15:43:00.000000000,4
25856,18 days 15:50:00.000000000,4
25857,17 days 22:28:00.000000000,4
25858,15 days 07:49:00.000000000,4
25859,31 days 03:34:00.000000000,4
25860,18 days 16:12:00.000000000,4
25861,25 days 23:05:00.000000000,4
25862,25 days 03:24:00.000000000,4
25863,15 days 08:17:00.000000000,4
25864,28 days 20:30:00.000000000,4
25865,19 days 12:40:00.000000000,4
25866,14 days 10:54:00.000000000,4
25867,12 days 11:27:00.000000000,4
25868,17 days 16:42:00.000000000,4
25869,24 days 03:13:00.000000000,4
25870,21 days 07:18:00.000000000,4
25871,16 days 14:46:00.000000000,4
25872,18 days 21:38:00.000000000,4
25873,13 days 13:46:00.000000000,4
25874,16 days 18:53:00.000000000,4
25875,19 days 02:48:00.000000000,4
25876,13 days 09:47:00.000000000,4
25877,17 days 01:17:00.000000000,4
25878,18 days 20:37:00.000000000,4
25879,26 days 19:20:00.000000000,4
25880,21 days 16:45:00.000000000,4
25881,12 days 09:25:00.000000000,4
25882,18 days 14:33:00.000000000,4
25883,16 days 09:35:00.000000000,4
25884,15 days 03:02:00.000000000,4
25885,12 days 14:27:00.000000000,4
25886,21 days 15:41:00.000000000,4
25887,14 days 05:31:00.000000000,4
25888,18 days 02:21:00.000000000,4
25889,15 days 09:56:00.000000000,4
25890,15 days 11:39:00.000000000,4
25891,16 days 08:34:00.000000000,4
25892,17 days 20:41:00.000000000,4
25893,17 days 13:31:00.000000000,4
25894,14 days 06:53:00.000000000,4
25895,14 days 07:54:00.000000000,4
25896,19 days 15:04:00.000000000,4
25897,21 days 14:52:00.000000000,4
25898,23 days 02:35:00.000000000,4
25899,16 days 15:22:00.000000000,4
25900,20 days 20:51:00.000000000,4
25901,13 days 12:31:00.000000000,4
25902,16 days 15:23:00.000000000,4
25903,21 days 17:26:00.000000000,4
25904,29 days 02:33:00.000000000,4
25905,19 days 14:03:00.000000000,4
25906,17 days 16:01:00.000000000,4
25907,14 days 05:11:00.000000000,4
25908,17 days 04:23:00.000000000,4
25909,19 days 00:43:00.000000000,4
25910,20 days 17:44:00.000000000,4
25911,12 days 12:28:00.000000000,4
25912,19 days 21:41:00.000000000,4
25913,16 days 09:32:00.000000000,4
25914,18 days 15:34:00.000000000,4
25915,20 days 06:56:00.000000000,4
25916,18 days 03:56:00.000000000,4
25917,14 days 08:05:00.000000000,4
25918,18 days 02:59:00.000000000,4
25919,22 days 19:50:00.000000000,4
25920,17 days 03:28:00.000000000,4
25921,20 days 19:21:00.000000000,4
25922,18 days 03:57:00.000000000,4
25923,22 days 13:44:00.000000000,4
25924,21 days 03:34:00.000000000,4
25925,14 days 12:58:00.000000000,4
25926,19 days 19:27:00.000000000,4
25927,15 days 10:10:00.000000000,4
25928,21 days 06:27:00.000000000,4
25929,32 days 00:11:00.000000000,4
25930,23 days 20:14:00.000000000,4
25931,17 days 06:08:00.000000000,4
25932,21 days 13:35:00.000000000,4
25933,14 days 16:26:00.000000000,4
25934,12 days 10:19:00.000000000,4
25935,14 days 06:28:00.000000000,4
25936,22 days 19:00:00.000000000,4
25937,16 days 13:24:00.000000000,4
25938,29 days 01:21:00.000000000,4
25939,21 days 13:33:00.000000000,4
25940,29 days 22:37:00.000000000,4
25941,14 days 12:34:00.000000000,4
25942,19 days 19:30:00.000000000,4
25943,17 days 02:03:00.000000000,4
25944,20 days 16:38:00.000000000,4
25945,21 days 01:15:00.000000000,4
25946,19 days 12:33:00.000000000,4
25947,16 days 20:38:00.000000000,4
25948,20 days 10:30:00.000000000,4
25949,18 days 13:59:00.000000000,4
25950,19 days 01:14:00.000000000,4
25951,15 days 19:46:00.000000000,4
25952,24 days 01:04:00.000000000,4
25953,25 days 23:45:00.000000000,4
25954,20 days 23:13:00.000000000,4
25955,20 days 16:35:00.000000000,4
25956,24 days 22:17:00.000000000,4
25957,19 days 00:12:00.000000000,4
25958,18 days 15:25:00.000000000,4
25959,22 days 23:35:00.000000000,4
25960,22 days 18:30:00.000000000,4
25961,17 days 18:06:00.000000000,4
25962,20 days 19:57:00.000000000,4
25963,17 days 18:04:00.000000000,4
25964,20 days 21:11:00.000000000,4
25965,22 days 14:25:00.000000000,4
25966,15 days 08:24:00.000000000,4
25967,18 days 18:17:00.000000000,4
25968,18 days 21:41:00.000000000,4
25969,14 days 01:54:00.000000000,4
25970,14 days 03:25:00.000000000,4
25971,17 days 08:25:00.000000000,4
25972,24 days 22:02:00.000000000,4
25973,29 days 20:34:00.000000000,4
25974,21 days 18:35:00.000000000,4
25975,18 days 05:45:00.000000000,4
25976,18 days 00:40:00.000000000,4
25977,11 days 08:56:00.000000000,4
25978,20 days 20:58:00.000000000,4
25979,18 days 03:26:00.000000000,4
25980,19 days 05:57:00.000000000,4
25981,20 days 05:25:00.000000000,4
25982,17 days 08:31:00.000000000,4
25983,24 days 23:18:00.000000000,4
25984,15 days 03:33:00.000000000,4
25985,18 days 18:03:00.000000000,4
25986,15 days 19:22:00.000000000,4
25987,20 days 20:42:00.000000000,4
25988,20 days 03:49:00.000000000,4
25989,21 days 13:59:00.000000000,4
25990,23 days 20:04:00.000000000,4
25991,19 days 20:19:00.000000000,4
25992,22 days 20:30:00.000000000,4
25993,16 days 07:59:00.000000000,4
25994,10 days 14:24:00.000000000,4
25995,15 days 16:16:00.000000000,4
25996,19 days 19:56:00.000000000,4
25997,16 days 06:17:00.000000000,4
25998,19 days 19:14:00.000000000,4
25999,18 days 06:39:00.000000000,4
26000,22 days 17:29:00.000000000,4
26001,17 days 05:07:00.000000000,4
26002,32 days 16:52:00.000000000,4
26003,18 days 19:18:00.000000000,4
26004,16 days 11:22:00.000000000,4
26005,23 days 18:12:00.000000000,4
26006,20 days 01:44:00.000000000,4
26007,21 days 00:48:00.000000000,4
26008,15 days 17:44:00.000000000,4
26009,17 days 19:54:00.000000000,4
26010,15 days 11:30:00.000000000,4
26011,14 days 13:42:00.000000000,4
26012,18 days 21:48:00.000000000,4
26013,21 days 01:47:00.000000000,4
26014,17 days 11:12:00.000000000,4
26015,24 days 14:06:00.000000000,4
26016,34 days 09:02:00.000000000,4
26017,27 days 20:40:00.000000000,4
26018,16 days 11:02:00.000000000,4
26019,19 days 16:27:00.000000000,4
26020,19 days 10:26:00.000000000,4
26021,15 days 10:17:00.000000000,4
26022,18 days 23:08:00.000000000,4
26023,20 days 13:36:00.000000000,4
26024,22 days 23:21:00.000000000,4
26025,19 days 18:13:00.000000000,4
26026,24 days 18:08:00.000000000,4
26027,22 days 01:58:00.000000000,4
26028,17 days 05:08:00.000000000,4
26029,17 days 04:21:00.000000000,4
26030,22 days 21:50:00.000000000,4
26031,21 days 23:23:00.000000000,4
