,index,hours_from_admission_to_death_epic
601,35.25,4
602,106.85,4
603,9719.983333333334,4
604,11.95,4
605,634.0,4
606,224.91666666666666,4
607,222.5,4
608,127.43333333333334,4
609,1638.75,4
610,55.25,4
611,10.95,4
612,1182.3333333333333,4
613,28.766666666666666,4
614,4.666666666666667,4
615,246.5,4
616,10.633333333333333,4
617,347.0,4
618,125.31666666666666,4
619,79.33333333333333,4
620,150.75,4
621,95.03333333333333,4
622,180.63333333333333,4
623,35.63333333333333,4
624,56.45,4
625,7.266666666666667,4
626,262.6666666666667,4
627,4039.25,4
628,147.0,4
629,54.233333333333334,4
630,318.0,4
631,27.116666666666667,4
632,175.0,4
633,49.333333333333336,4
634,197.5,4
635,1919.9833333333333,4
636,1274.25,4
637,252.06666666666666,4
638,705.0,4
639,144.25,4
640,46.733333333333334,4
641,1636.5666666666666,4
642,176.11666666666667,4
643,415.5,4
644,196.0,4
645,30.883333333333333,4
646,392.3833333333333,4
647,80.75,4
648,2169.3,4
649,101.91666666666667,4
650,106.25,4
651,177.25,4
652,226.55,4
653,77.78333333333333,4
654,103.75,4
655,991.5,4
656,709.25,4
657,443.75,4
658,510.7,4
659,249.5,4
660,727.6333333333333,4
661,74.5,4
662,199.58333333333334,4
663,610.35,4
664,80.28333333333333,4
665,199.41666666666666,4
666,844.95,4
667,9.95,4
668,5.983333333333333,4
669,534.95,4
670,658.0,4
671,7583.983333333334,4
672,104.4,4
673,392.25,4
674,224.23333333333332,4
675,1703.9833333333333,4
676,297.1166666666667,4
677,483.5,4
678,3743.983333333333,4
679,96.5,4
680,8.433333333333334,4
681,2.033333333333333,4
682,342.76666666666665,4
683,192.78333333333333,4
684,387.21666666666664,4
685,2.783333333333333,4
686,1376.75,4
687,167.56666666666666,4
688,473.6,4
689,11519.983333333334,4
690,680.0,4
691,8020.5,4
692,104.88333333333334,4
693,9.566666666666666,4
694,53.31666666666667,4
695,246.66666666666666,4
696,320.0,4
697,78.0,4
698,338.3,4
699,1423.0,4
700,1736.25,4
701,28.85,4
702,54.5,4
703,32.25,4
704,6988.75,4
705,243.43333333333334,4
706,101.25,4
707,59.81666666666667,4
708,2.25,4
709,366.25,4
710,753.8333333333334,4
711,56.93333333333333,4
712,54.0,4
713,390.75,4
714,6191.983333333334,4
715,246.6,4
716,55.75,4
717,152.25,4
718,8.466666666666667,4
719,1233.5,4
720,4.533333333333333,4
721,336.78333333333336,4
722,196.78333333333333,4
723,78.66666666666667,4
724,2759.983333333333,4
725,29.716666666666665,4
726,3053.9166666666665,4
727,310.1666666666667,4
728,2262.0,4
729,4391.983333333334,4
730,179.0,4
731,29.3,4
732,1227.6666666666667,4
733,1324.5,4
734,175.6,4
735,850.5,4
736,102.8,4
737,608.6333333333333,4
738,1415.9833333333333,4
739,148.58333333333334,4
740,2394.0,4
741,410.0,4
742,961.25,4
743,36.0,4
744,36.75,4
745,319.1166666666667,4
746,528.0,4
747,369.8666666666667,4
748,196.38333333333333,4
749,152.11666666666667,4
750,200.61666666666667,4
751,173.25,4
752,103.76666666666667,4
753,6753.5,4
754,24.0,4
755,26.3,4
756,23.0,4
757,9.533333333333333,4
758,222.31666666666666,4
759,1594.0,4
760,1343.9833333333333,4
761,126.33333333333333,4
762,24.816666666666666,4
763,386.75,4
764,241.58333333333334,4
765,1280.0,4
766,106.81666666666666,4
767,939.1666666666666,4
768,511.31666666666666,4
769,3127.1666666666665,4
770,7.333333333333333,4
771,57.666666666666664,4
772,702.5166666666667,4
773,293.0833333333333,4
774,27.15,4
775,247.08333333333334,4
776,100.16666666666667,4
777,331.8833333333333,4
778,725.75,4
779,1583.9833333333333,4
780,13.85,4
781,132.16666666666666,4
782,154.9,4
783,125.0,4
784,368.9166666666667,4
785,849.3333333333334,4
786,315.9,4
787,57.25,4
788,343.0,4
789,628.0,4
790,60.9,4
791,30.716666666666665,4
792,746.0833333333334,4
793,31.15,4
794,102.18333333333334,4
795,1232.25,4
796,27.133333333333333,4
797,8231.983333333334,4
798,101.15,4
799,46.95,4
800,2073.5,4
801,510.5,4
802,36.93333333333333,4
803,56.1,4
804,417.85,4
805,3.6666666666666665,4
806,105.25,4
807,11724.5,4
808,174.25,4
809,318.98333333333335,4
810,2959.25,4
811,343.46666666666664,4
812,54.61666666666667,4
813,265.25,4
814,1523.2,4
815,14261.0,4
816,107.21666666666667,4
817,10.483333333333333,4
818,2303.983333333333,4
819,10.833333333333334,4
820,36.35,4
821,3.5,4
822,193.78333333333333,4
823,9.8,4
824,678.5,4
825,150.36666666666667,4
826,1113.75,4
827,61.03333333333333,4
828,296.1666666666667,4
829,58.75,4
830,98.16666666666667,4
831,151.16666666666666,4
832,4559.983333333334,4
833,922.5,4
834,513.8833333333333,4
835,85.0,4
836,6219.0,4
837,8.833333333333334,4
838,193.56666666666666,4
839,103.05,4
840,5.4,4
841,82.5,4
842,5.583333333333333,4
843,7.7,4
844,32.233333333333334,4
845,2.5833333333333335,4
846,17303.983333333334,4
847,1587.4166666666667,4
848,53.05,4
849,7.533333333333333,4
850,1879.9833333333333,4
851,5.766666666666667,4
852,33.25,4
853,1679.9833333333333,4
854,3815.983333333333,4
855,58.2,4
856,76.1,4
857,32.81666666666667,4
858,120.4,4
859,6.35,4
860,3071.983333333333,4
861,147.01666666666668,4
862,223.38333333333333,4
